variant,trial,sweep,energy
ideal,3,35,1.0
ideal,3,36,0.0
ideal,3,37,0.0
ideal,3,38,-1.0
ideal,3,39,-1.0
ideal,3,40,0.0
ideal,3,41,0.0
ideal,3,42,0.0
ideal,3,43,0.0
ideal,3,44,3.0
ideal,3,45,-2.0
ideal,3,46,-2.0
ideal,3,47,1.0
ideal,3,48,-2.0
ideal,3,49,-2.0
ideal,3,50,0.0
ideal,3,51,-1.0
ideal,3,52,0.0
ideal,3,53,1.0
ideal,3,54,-2.0
ideal,3,55,-2.0
ideal,3,56,-2.0
ideal,3,57,-2.0
ideal,3,58,-1.0
ideal,3,59,-1.0
ideal,3,60,-1.0
ideal,3,61,0.0
ideal,3,62,-1.0
ideal,3,63,0.0
ideal,3,64,0.0
ideal,3,65,-2.0
ideal,3,66,-1.0
ideal,3,67,0.0
ideal,3,68,-2.0
ideal,3,69,-1.0
ideal,3,70,-2.0
ideal,3,71,-1.0
ideal,3,72,-1.0
ideal,3,73,-1.0
ideal,3,74,-2.0
ideal,3,75,1.0
ideal,3,76,-1.0
ideal,3,77,-1.0
ideal,3,78,0.0
ideal,3,79,-2.0
ideal,3,80,-2.0
ideal,3,81,-2.0
ideal,3,82,-2.0
ideal,3,83,-2.0
ideal,3,84,-1.0
ideal,3,85,-2.0
ideal,3,86,1.0
ideal,3,87,-2.0
ideal,3,88,-2.0
ideal,3,89,0.0
ideal,3,90,-2.0
ideal,3,91,0.0
ideal,3,92,-1.0
ideal,3,93,0.0
ideal,3,94,-2.0
ideal,3,95,-2.0
ideal,3,96,-2.0
ideal,3,97,-1.0
ideal,3,98,1.0
ideal,3,99,-2.0
ideal,3,100,-1.0
ideal,3,101,-2.0
ideal,3,102,-2.0
ideal,3,103,-2.0
ideal,3,104,-2.0
ideal,3,105,0.0
ideal,3,106,-1.0
ideal,3,107,0.0
ideal,3,108,-1.0
ideal,3,109,0.0
ideal,3,110,-2.0
ideal,3,111,-2.0
ideal,3,112,-2.0
ideal,3,113,-2.0
ideal,3,114,-1.0
ideal,3,115,-2.0
ideal,3,116,-2.0
ideal,3,117,0.0
ideal,3,118,-1.0
ideal,3,119,-2.0
ideal,3,120,0.0
ideal,3,121,-2.0
ideal,3,122,-2.0
ideal,3,123,-2.0
ideal,3,124,-2.0
ideal,3,125,-2.0
ideal,3,126,-2.0
ideal,3,127,-2.0
ideal,3,128,-2.0
ideal,3,129,-2.0
ideal,3,130,-2.0
ideal,3,131,-2.0
ideal,3,132,-2.0
ideal,3,133,-2.0
ideal,3,134,-2.0
ideal,3,135,-2.0
ideal,3,136,-2.0
ideal,3,137,-2.0
ideal,3,138,-2.0
ideal,3,139,-2.0
ideal,3,140,-2.0
ideal,3,141,-2.0
ideal,3,142,-2.0
ideal,3,143,-2.0
ideal,3,144,-2.0
ideal,3,145,-2.0
ideal,3,146,-2.0
ideal,3,147,-2.0
ideal,3,148,-2.0
ideal,3,149,-2.0
ideal,3,150,-2.0
ideal,3,151,-2.0
ideal,3,152,-2.0
ideal,3,153,-2.0
ideal,3,154,-2.0
ideal,3,155,-2.0
ideal,3,156,-2.0
ideal,3,157,-2.0
ideal,3,158,-2.0
ideal,3,159,-2.0
ideal,3,160,-2.0
ideal,3,161,-2.0
ideal,3,162,-2.0
ideal,3,163,-2.0
ideal,3,164,-2.0
ideal,3,165,-2.0
ideal,3,166,-2.0
ideal,3,167,-2.0
ideal,3,168,-2.0
ideal,3,169,-2.0
ideal,3,170,-2.0
ideal,3,171,-2.0
ideal,3,172,-2.0
ideal,3,173,-2.0
ideal,3,174,-2.0
ideal,3,175,-2.0
ideal,3,176,-2.0
ideal,3,177,-2.0
ideal,3,178,-2.0
ideal,3,179,-2.0
ideal,3,180,-2.0
ideal,3,181,-2.0
ideal,3,182,-2.0
ideal,3,183,-2.0
ideal,3,184,-2.0
ideal,3,185,-2.0
