block,instance,n,n_sweeps,p_s,deg_mean,coupling,b_accum,e_accum_fJ,e_accum_provenance,synapse_on,synapse_pJ_per_update,k,n_par,share,rail_vt,platform,e_update_pJ,tts_s,energy_J,energy_ratio_vs_cmos,tts_ratio_vs_cmos
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.7930952385299808,78.20666667883945,791892.0799915212,311.10045999666903
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,sMTJ-array,11.667344062499994,0.001346717024410645,0.0002304516262198363,0.734518467781395,0.14999999999999997
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,sMTJ-array-e2e,25.559344062499996,0.025165652129486925,0.0005048443221321556,1.6090903069041982,2.803
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,cmos-pbit,15.884344062499995,0.008978113496070968,0.0003137451763682851,1.0,1.0
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0017956226992141937,0.01975184969135613,62.95507048105408,0.2
caliber,factor_M65,11,20000,0.05,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.7930952385299808,78.20666667883945,249268.10854627364,311.10045999666903
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.0006920188415970162,7.947144376900133e-06,0.1566,0.15
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.012931525419976244,0.0001489455220063978,2.9350000000000005,2.803
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.0046134589439801085,5.074804838378118e-05,1.0,1.0
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0009226917887960217,0.010149609676756238,200.00000000000003,0.19999999999999998
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,1.4352491996479588,40.186977590142845,791892.0799915214,311.1004599966691
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,sMTJ-array,11.667344062499994,0.0006920188415970162,0.00011841898819879439,0.7345184677813951,0.15
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,sMTJ-array-e2e,25.559344062499996,0.012931525419976244,0.00025941736582829204,1.6090903069041982,2.803
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,cmos-pbit,15.884344062499995,0.0046134589439801085,0.00016121989220567543,1.0,1.0
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0009226917887960217,0.010149609676756238,62.95507048105408,0.19999999999999998
caliber,factor_M77,11,20000,0.095,10.0,rand_core,13,1088.43,ANALYTIC (measured linear fit in b),1,10.8843,3,64,1.0,4.0,cpu-numba,3959460.399957606,1.4352491996479588,40.186977590142845,249268.10854627367,311.1004599966691
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.0011163976093723409,1.2820710146031961e-05,0.1566,0.15000000000000002
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.02086174999380448,0.00024028597879057351,2.9350000000000005,2.8030000000000004
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.007442650729148939,8.186915802063832e-05,1.0,1.0
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0014885301458297878,0.016373831604127666,200.00000000000003,0.2
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.3154120654327794,64.83153783211782,791892.0799915213,311.1004599966691
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,11.7094,3,64,1.0,4.0,sMTJ-array,12.492388124999994,0.0011163976093723409,0.00020454825949215406,0.7476269048002617,0.15000000000000002
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,11.7094,3,64,1.0,4.0,sMTJ-array-e2e,26.384388124999997,0.02086174999380448,0.0004320135281366956,1.579015815996554,2.8030000000000004
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,11.7094,3,64,1.0,4.0,cmos-pbit,16.709388124999993,0.007442650729148939,0.0002735967073667604,1.0,1.0
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,11.7094,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0014885301458297878,0.016373831604127666,59.84659596863607,0.2
caliber,factor_M91,11,20000,0.06,10.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,11.7094,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.3154120654327794,64.83153783211782,236960.22681007703,311.1004599966691
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.0008860465235497955,1.3875488558789797e-05,0.1566,0.15
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.016557256036733844,0.000260054654661865,2.935,2.803
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.005906976823665303,8.860465235497955e-05,1.0,1.0
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0011813953647330606,0.01772093047099591,200.00000000000003,0.2
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.5059043732253716,70.1653224503104,791892.0799915213,424.2278999954579
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),1,17.5482,3,64,1.0,4.0,sMTJ-array,18.331205062499997,0.0008860465235497955,0.0003248460103621307,0.8129784615533188,0.15
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),1,17.5482,3,64,1.0,4.0,sMTJ-array-e2e,32.2232050625,0.016557256036733844,0.0005710251764652058,1.429080717209306,2.803
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),1,17.5482,3,64,1.0,4.0,cmos-pbit,22.548205062499996,0.005906976823665303,0.00039957517415832036,1.0,1.0
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),1,17.5482,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0011813953647330606,0.01772093047099591,44.349428135328786,0.2
caliber,factor_M143,15,20000,0.075,14.0,rand_core,15,1253.44,ANALYTIC (measured linear fit in b),1,17.5482,3,64,1.0,4.0,cpu-numba,3959460.399957606,2.5059043732253716,70.1653224503104,175599.8044626,424.2278999954579
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.06873158648300826,0.0035160330381247703,0.1566,0.15
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,1.2843642460791478,0.06589755406702555,2.935,2.8030000000000004
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.45821057655338837,0.02245231825111603,1.0,1.0
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.022910528827669422,4.490463650223206,200.0,0.05000000000000001
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,634.9933214467097,17779.813000507867,791892.0799915212,1385.8111399851625
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,60.8888,3,64,1.0,4.0,sMTJ-array,61.67181824999998,0.06873158648300826,0.27693505809479707,0.9359982450436498,0.15
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,60.8888,3,64,1.0,4.0,sMTJ-array-e2e,75.56381824999998,1.2843642460791478,0.3393165791236979,1.146838268722478,2.8030000000000004
caliber,burma14,196,50000,0.01,52.0,rand_core,14,1170.94,ANALYTIC (measured linear fit in b),1,60.8888,3,64,1.0,4.0,cmos-pbit,65.88881824999999,0.45821057655338837,0.2958713433077883,1.0,1.0
